overall_qual,gr_liv_area,neighborhood,garage_cars,total_bsmt_sf,mortgage_rate,days_on_market,distance_to_center,total_sf,age_at_sale,years_since_remodel,total_bath,predicted_sale_price,actual_sale_price
7,1710,CollgCr,2,856,5.9175,32,2.35,7.8504931808711405,5,5,3.5,202438.77407298275,208500
6,1262,Veenker,2,1262,6.2620000000000005,30,4.07,7.83399634170946,31,31,2.5,194967.15325062853,181500
7,1786,CollgCr,2,920,6.0375,43,2.59,7.903596289614301,7,6,3.5,219814.384269416,223500
7,1717,Crawfor,3,756,6.2525,31,2.56,7.813591552952433,91,36,2.0,175338.12686078047,140000
8,2198,NoRidge,3,1145,5.286,54,4.63,8.114922974204593,8,8,3.5,290410.93868298666,250000
5,1362,Mitchel,2,796,4.952,22,2.99,7.677400430514807,16,14,2.5,161566.425385571,143000
8,1694,Somerst,2,1686,6.572,53,3.19,8.125926802707886,3,2,3.0,274591.71503515565,307000
7,2090,NWAmes,2,1107,4.875,58,3.89,8.0702808933939,36,36,3.5,232598.43150784288,200000
7,1774,OldTown,2,952,5.9175,43,1.06,7.910957382845589,77,58,2.0,127267.37243254324,129900
5,1077,BrkSide,1,991,5.758,35,0.95,7.634820677745543,69,58,2.0,119121.03420957597,118000
5,1040,Sawyer,1,1040,5.9175,35,2.14,7.640603826393634,43,43,2.0,126663.98249749627,129500
9,2324,NridgHt,3,1175,6.7625,85,4.42,8.160518247477505,1,0,4.0,379174.7264783611,345000
5,912,Sawyer,1,912,6.0375,35,2.45,7.509335266016592,46,46,2.0,128819.89960001422,144000
7,1494,CollgCr,3,1494,6.572,36,3.0,8.002694162283937,1,0,2.0,234360.044010905,279500
6,1253,NAmes,1,1253,6.036,24,1.77,7.826842098158293,48,48,2.5,154951.5171087737,157000
7,854,BrkSide,2,832,6.695,50,0.9,7.430707082545968,78,6,1.0,130753.60426711146,132000
6,1004,NAmes,2,1004,4.9675,46,2.68,7.605392364814935,40,40,2.0,159417.8249642772,149000
4,1296,Sawyer,2,0,6.3575,44,2.71,7.167809184316444,39,39,2.0,112485.6673472287,90000
5,1114,SawyerW,2,1114,6.32,32,2.79,7.709308333385869,4,4,2.5,155587.82946689462,159000
5,1339,NAmes,1,1029,4.8575,23,1.6,7.7702232041587855,51,44,1.0,122428.15744358761,139000
