mssub_class,mszoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition1,condition2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod_add,roof_style,roof_matl,exteriorfirst,exteriorsecond,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmt_fin_type1,bsmt_fin_sf1,bsmt_fin_type2,bsmt_fin_sf2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,first_flr_sf,second_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abv_gr,kitchen_abv_gr,kitchen_qual,tot_rms_abv_grd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,three_ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,sale_condition,age_at_sale,years_since_remod,garage_age_at_sale,total_sf,total_above_ground_sf,total_bath,total_porch_sf,has_basement,has_garage,has_pool,has_fireplace,has_porch,is_new_house,age_negative_flag,remodel_negative_flag,garage_age_negative_flag
60,RL,65.0,8450,Pave,None,3.0,Lvl,AllPub,Inside,2.0,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,4.0,3.0,PConc,4.0,3.0,1.0,GLQ,706,Unf,0,150,856,GasA,5.0,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,4.0,8,7.0,0,0.0,Attchd,2003.0,2.0,2,548,3.0,3.0,2.0,0,61,0,0,0,0,0.0,None,None,0,2,2008,WD,Normal,5,5,5.0,2566,1710,3.5,61,1,1,0,0,1,0,0,0,0
20,RL,80.0,9600,Pave,None,3.0,Lvl,AllPub,FR2,2.0,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,3.0,3.0,CBlock,4.0,3.0,4.0,ALQ,978,Unf,0,284,1262,GasA,5.0,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,3.0,6,7.0,1,3.0,Attchd,1976.0,2.0,2,460,3.0,3.0,2.0,298,0,0,0,0,0,0.0,None,None,0,5,2007,WD,Normal,31,31,31.0,2524,1262,2.5,298,1,1,0,1,1,0,0,0,0
60,RL,68.0,11250,Pave,None,2.0,Lvl,AllPub,Inside,2.0,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,4.0,3.0,PConc,4.0,3.0,2.0,GLQ,486,Unf,0,434,920,GasA,5.0,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,4.0,6,7.0,1,3.0,Attchd,2001.0,2.0,2,608,3.0,3.0,2.0,0,42,0,0,0,0,0.0,None,None,0,9,2008,WD,Normal,7,6,7.0,2706,1786,3.5,42,1,1,0,1,1,0,0,0,0
70,RL,60.0,9550,Pave,None,2.0,Lvl,AllPub,Corner,2.0,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3.0,3.0,BrkTil,3.0,4.0,1.0,ALQ,216,Unf,0,540,756,GasA,4.0,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,4.0,7,7.0,1,4.0,Detchd,1998.0,1.0,3,642,3.0,3.0,2.0,0,35,272,0,0,0,0.0,None,None,0,2,2006,WD,Abnorml,91,36,8.0,2473,1717,2.0,307,1,1,0,1,1,0,0,0,0
60,RL,84.0,14260,Pave,None,2.0,Lvl,AllPub,FR2,2.0,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,4.0,3.0,PConc,4.0,3.0,3.0,GLQ,655,Unf,0,490,1145,GasA,5.0,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,4.0,9,7.0,1,3.0,Attchd,2000.0,2.0,3,836,3.0,3.0,2.0,192,84,0,0,0,0,0.0,None,None,0,12,2008,WD,Normal,8,8,8.0,3343,2198,3.5,276,1,1,0,1,1,0,0,0,0
50,RL,85.0,14115,Pave,None,2.0,Lvl,AllPub,Inside,2.0,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3.0,3.0,Wood,4.0,3.0,1.0,GLQ,732,Unf,0,64,796,GasA,5.0,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,3.0,5,7.0,0,0.0,Attchd,1993.0,1.0,2,480,3.0,3.0,2.0,40,30,0,320,0,0,0.0,MnPrv,Shed,700,10,2009,WD,Normal,16,14,16.0,2158,1362,2.5,390,1,1,0,0,1,0,0,0,0
20,RL,75.0,10084,Pave,None,3.0,Lvl,AllPub,Inside,2.0,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,4.0,3.0,PConc,5.0,3.0,3.0,GLQ,1369,Unf,0,317,1686,GasA,5.0,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,4.0,7,7.0,1,4.0,Attchd,2004.0,2.0,2,636,3.0,3.0,2.0,255,57,0,0,0,0,0.0,None,None,0,8,2007,WD,Normal,3,2,3.0,3380,1694,3.0,312,1,1,0,1,1,0,0,0,0
60,RL,,10382,Pave,None,2.0,Lvl,AllPub,Corner,2.0,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3.0,3.0,CBlock,4.0,3.0,2.0,ALQ,859,BLQ,32,216,1107,GasA,5.0,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,3.0,7,7.0,2,3.0,Attchd,1973.0,2.0,2,484,3.0,3.0,2.0,235,204,228,0,0,0,0.0,None,Shed,350,11,2009,WD,Normal,36,36,36.0,3197,2090,3.5,667,1,1,0,1,1,0,0,0,0
50,RM,51.0,6120,Pave,None,3.0,Lvl,AllPub,Inside,2.0,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,3.0,3.0,BrkTil,3.0,3.0,1.0,Unf,0,Unf,0,952,952,GasA,4.0,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,3.0,8,6.0,2,3.0,Detchd,1931.0,1.0,2,468,2.0,3.0,2.0,90,0,205,0,0,0,0.0,None,None,0,4,2008,WD,Abnorml,77,58,77.0,2726,1774,2.0,295,1,1,0,1,1,0,0,0,0
190,RL,50.0,7420,Pave,None,3.0,Lvl,AllPub,Corner,2.0,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3.0,3.0,BrkTil,3.0,3.0,1.0,GLQ,851,Unf,0,140,991,GasA,5.0,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,3.0,5,7.0,2,3.0,Attchd,1939.0,2.0,1,205,4.0,3.0,2.0,0,4,0,0,0,0,0.0,None,None,0,1,2008,WD,Normal,69,58,69.0,2068,1077,2.0,4,1,1,0,1,1,0,0,0,0
