neighborhood,n,actual_mean,predicted_mean,residual_mean,mae,mape,within_10_pct,within_20_pct
Blmngtn,4,217492.0,204312.77886154808,13179.221138451903,27774.38886746786,0.12969073261366548,0.5,1.0
Blueste,1,151000.00000000006,146864.16907798112,4135.83092201894,4135.83092201894,0.02738960875509231,1.0,1.0
BrDale,5,106900.0,107414.52487662632,-514.524876626319,2693.5325369095895,0.02579398217927261,1.0,1.0
BrkSide,18,124265.27777777775,122338.36782884152,1926.9099489362497,10142.899711296577,0.08769863088400921,0.6666666666666666,0.8333333333333334
ClearCr,7,202976.0,182289.32627218394,20686.673727816094,20686.673727816094,0.09869259857345969,0.5714285714285714,1.0
CollgCr,38,192824.65789473685,194765.21880194644,-1940.5609072095804,10254.092336754766,0.05107509931858447,0.9210526315789473,0.9736842105263158
Crawfor,12,237560.33333333334,229882.40466015018,7677.928673183139,17867.347714698783,0.0772140927404275,0.6666666666666666,0.9166666666666666
Edwards,15,127993.33333333334,127671.41784312128,321.9154902120635,10308.45236330394,0.08821115254952203,0.7333333333333333,0.8666666666666667
Gilbert,13,193726.07692307697,190564.38063805673,3161.696285020231,17780.50578947768,0.09066024485093124,0.6923076923076923,0.8461538461538461
IDOTRR,7,83712.42857142855,89461.45000423021,-5749.021432801653,16969.958411905794,0.3169306028405075,0.2857142857142857,0.7142857142857143
MeadowV,5,101080.00000000001,104762.08029054935,-3682.0802905493356,6684.544991818216,0.06917981651097141,0.8,1.0
Mitchel,10,152090.0,148393.7303293344,3696.269670665618,7592.584408575834,0.046595172661428944,0.9,1.0
NAmes,37,146532.64864864867,148756.62910003963,-2223.9804513909407,10345.348743318571,0.06998523518800398,0.8108108108108109,0.9459459459459459
NWAmes,9,205783.33333333337,209697.66074549092,-3914.327412157536,12483.027744367391,0.05699573019225563,0.7777777777777778,1.0
NoRidge,7,318309.71428571426,307822.2134106775,10487.50087503673,23828.44874400042,0.07938202558119208,0.5714285714285714,1.0
NridgHt,12,302918.50000000006,301312.10976550303,1606.3902344970847,14528.951320670962,0.05277201012524827,0.8333333333333334,1.0
OldTown,23,119232.60869565215,121214.55294752176,-1981.944251869595,13676.26590146261,0.11727117131869912,0.5652173913043478,0.8260869565217391
SWISU,6,146166.66666666672,157814.7123103705,-11648.045643703788,11648.045643703788,0.07433097564267271,0.6666666666666666,1.0
Sawyer,9,139777.7777777778,134751.00941555653,5026.768362221274,7538.868060774534,0.05389884510745169,0.7777777777777778,1.0
SawyerW,18,206427.77777777778,202525.002641689,3902.7751360887924,14909.301811186546,0.06711581237286149,0.7222222222222222,1.0
Somerst,22,232295.45454545456,223354.74755872396,8940.706986730604,13779.903144798447,0.057797267373381554,0.8636363636363636,1.0
StoneBr,3,292926.66666666657,336458.7371526686,-43532.07048600205,43532.07048600205,0.14963357316068762,0.3333333333333333,0.6666666666666666
Timber,11,254440.00000000003,263602.48543315585,-9162.485433155818,17128.29329369923,0.06670118956383081,0.8181818181818182,1.0
