overall_qual,n,actual_mean,predicted_mean,residual_mean,mae,mape,within_10_pct,within_20_pct
1,1,39299.99999999996,48050.680100369595,-8750.680100369631,8750.680100369631,0.222663615785487,0.0,0.0
2,1,35311.00000000002,54952.134244354376,-19641.134244354354,19641.134244354354,0.5562327389299182,0.0,0.0
3,1,67000.0,74258.01211622167,-7258.012116221667,7258.012116221667,0.1083285390480846,0.0,1.0
4,26,106107.19230769234,106151.36869883488,-44.17639114253856,14177.623985879198,0.16880662846609,0.46153846153846156,0.8076923076923077
5,70,129047.85714285714,127564.41905172725,1483.4380911298913,7050.050188946024,0.05698877317700862,0.8571428571428571,0.9714285714285714
6,71,156464.52112676058,157280.84401719252,-816.322890431927,9331.768788745941,0.06141700410471658,0.8450704225352113,0.971830985915493
7,72,211753.65277777778,210020.26295103866,1733.3898267390991,17087.467572272413,0.07864232574298892,0.7083333333333334,0.9166666666666666
8,39,273709.17948717956,273554.33737154235,154.84211563720152,20864.465290390566,0.07662618205214097,0.6923076923076923,0.9743589743589743
9,9,345055.5555555557,329707.2327086714,15348.322846884219,16624.174235674527,0.04716597346865206,0.8888888888888888,1.0
10,2,445364.99999999994,475941.67748075165,-30576.677480751678,49597.70244710639,0.11240385247432709,0.5,1.0
